Category;Group;Entry;Usage_%;Evolution_%
OS Version;Windows;Windows 10 64 bit;0.5102;-0.0338
OS Version;Windows;Windows 11 64 bit;0.4515;0.0354
OS Version;Windows;Windows 7 64 bit;0.0043;-0.0006
OS Version;Windows;Windows 8.1 64 bit;0.0008;0.0
OS Version;OSX;MacOS 14.4.1 64 bit;0.0045000000000000005;0.0045000000000000005
OS Version;OSX;MacOS 14.2.1 64 bit;0.0012;-0.0012
OS Version;OSX;MacOS 14.3.1 64 bit;0.0008;-0.0019
OS Version;OSX;MacOS 14.4.0 64 bit;0.0006;-0.0008
OS Version;Linux;"""Arch Linux"" 64 bit";0.0016;0.0001
OS Version;Linux;Ubuntu 22.04.4 LTS 64 bit;0.0012;0.0001
OS Version;Linux;Linux Mint 21.3 64 bit;0.0008;0.0001
OS Version;Linux;"""Manjaro Linux"" 64 bit";0.0006;-0.0001
System RAM;;Less than 4 GB;0.0005;-0.0001
System RAM;;4 GB;0.0269;-0.0009
System RAM;;8 GB;0.1189;0.0015
System RAM;;12 GB;0.0296;0.0009
System RAM;;16 GB;0.4826;0.005600000000000001
System RAM;;24 GB;0.0128;0.0009
System RAM;;32 GB;0.2809;-0.012
System RAM;;48 GB;0.0051;0.0051
System RAM;;64 GB;0.031;0.0027
System RAM;;More than 64 GB;0.0032;0.0003
System RAM;;Other;0.0085;-0.004
Intel CPU Speeds;;Unspecified;0.0;0.0
Intel CPU Speeds;;Below 1.4 Ghz;0.0091;-0.0002
Intel CPU Speeds;;1.4 Ghz to 1.49 Ghz;0.0021;-0.0001
Intel CPU Speeds;;1.5 Ghz to 1.69 Ghz;0.0025;-0.0001
Intel CPU Speeds;;1.7 Ghz to 1.99 Ghz;0.013000000000000001;0.0002
Intel CPU Speeds;;2.0 Ghz to 2.29 Ghz;0.04;-0.0039000000000000003
Intel CPU Speeds;;2.3 Ghz to 2.69 Ghz;0.22260000000000002;-0.0049
Intel CPU Speeds;;2.7 Ghz to 2.99 Ghz;0.12619999999999998;-0.0173
Intel CPU Speeds;;3.0 Ghz to 3.29 Ghz;0.060599999999999994;-0.001
Intel CPU Speeds;;3.3 Ghz to 3.69 Ghz;0.1477;0.006
Intel CPU Speeds;;3.7 Ghz and above;0.028999999999999998;0.0
Physical CPUs;;1 cpu;0.0005;0.0
Physical CPUs;;2 cpus;0.052000000000000005;-0.0006
Physical CPUs;;3 cpus;0.0025;-0.0004
Physical CPUs;;4 cpus;0.2023;0.003
Physical CPUs;;5 cpus;0.0003;0.0
Physical CPUs;;6 cpus;0.3318;-0.0163
Physical CPUs;;7 cpus;0.0001;0.0001
Physical CPUs;;8 cpus;0.2069;0.0087
Physical CPUs;;9 cpus;0.0;0.0
Physical CPUs;;10 cpus;0.053200000000000004;-0.003
Physical CPUs;;11 cpus;0.0002;0.0
Physical CPUs;;12 cpus;0.0537;-0.0009
Physical CPUs;;13 cpus;0.0;0.0
Physical CPUs;;14 cpus;0.04;0.004699999999999999
Physical CPUs;;15 cpus;0.0;0.0
Physical CPUs;;16 cpus;0.0344;0.0012
Physical CPUs;;17 cpus;0.0;0.0
Physical CPUs;;18 cpus;0.0006;0.0001
Physical CPUs;;19 cpus;0.0;0.0
Physical CPUs;;20 cpus;0.0054;0.001
Physical CPUs;;22 cpus;0.0;0.0
Physical CPUs;;23 cpus;0.0;0.0
Physical CPUs;;24 cpus;0.015700000000000002;0.0024
Physical CPUs;;26 cpus;0.0;0.0
Physical CPUs;;28 cpus;0.0001;-0.0001
Physical CPUs;;30 cpus;0.0;0.0
Physical CPUs;;32 cpus;0.0001;0.0
Physical CPUs;;36 cpus;0.0;0.0
Physical CPUs;;40 cpus;0.0;0.0
Physical CPUs;;44 cpus;0.0;0.0
Physical CPUs;;48 cpus;0.0;0.0
Physical CPUs;;52 cpus;0.0;0.0
Physical CPUs;;56 cpus;0.0;0.0
Physical CPUs;;64 cpus;0.0;0.0
Physical CPUs;;96 cpus;0.0;0.0
Physical CPUs;;128 cpus;0.0;0.0
Video Card Description;;NVIDIA GeForce RTX 3060;0.0555;-0.0116
Video Card Description;;NVIDIA GeForce GTX 1650;0.042;0.0025
Video Card Description;;NVIDIA GeForce RTX 3060 Ti;0.0359;-0.0034000000000000002
Video Card Description;;NVIDIA GeForce RTX 2060;0.035;-0.0048
Video Card Description;;NVIDIA GeForce GTX 1060;0.0339;-0.0021
Video Card Description;;NVIDIA GeForce RTX 3070;0.0338;-0.0048
Video Card Description;;NVIDIA GeForce RTX 3060 Laptop GPU;0.0335;0.0039000000000000003
Video Card Description;;NVIDIA GeForce RTX 4060 Laptop GPU;0.0277;0.0049
Video Card Description;;NVIDIA GeForce RTX 3050;0.026699999999999998;0.0026
Video Card Description;;NVIDIA GeForce GTX 1050 Ti;0.024;0.0006
Video Card Description;;NVIDIA GeForce RTX 4060;0.0233;-0.0017000000000000001
Video Card Description;;NVIDIA GeForce GTX 1660 SUPER;0.0219;0.001
Video Card Description;;NVIDIA GeForce RTX 4070;0.021400000000000002;-0.0028000000000000004
Video Card Description;;NVIDIA GeForce RTX 3080;0.0213;-0.001
Video Card Description;;NVIDIA GeForce RTX 4060 Ti;0.0199;-0.0003
Video Card Description;;AMD Radeon Graphics;0.0197;0.0006
Video Card Description;;Intel Iris Xe Graphics;0.018600000000000002;0.0001
Video Card Description;;NVIDIA GeForce GTX 1660 Ti;0.015700000000000002;0.0005
Video Card Description;;NVIDIA GeForce RTX 3070 Ti;0.0147;-0.0006
Video Card Description;;Intel(R) UHD Graphics;0.0141;0.0003
Video Card Description;;NVIDIA GeForce RTX 4070 Ti;0.0129;0.0012
Video Card Description;;NVIDIA GeForce RTX 2060 SUPER;0.0127;-0.0012
Video Card Description;;NVIDIA GeForce RTX 2070 SUPER;0.0123;-0.0003
Video Card Description;;NVIDIA GeForce GTX 1070;0.0118;0.0001
Video Card Description;;NVIDIA GeForce GTX 1050;0.011699999999999999;0.0004
Video Card Description;;NVIDIA GeForce GTX 1660;0.009899999999999999;-0.0014000000000000002
Video Card Description;;NVIDIA GeForce RTX 3050 Ti Laptop GPU;0.009899999999999999;0.0007000000000000001
Video Card Description;;AMD Radeon(TM) Graphics;0.0098;0.001
Video Card Description;;;0.0098;-0.0002
Video Card Description;;NVIDIA GeForce RTX 4090;0.0096;0.0011
Video Card Description;;NVIDIA GeForce RTX 2070;0.009399999999999999;-0.002
Video Card Description;;AMD Radeon RX 580;0.0083;0.0002
Video Card Description;;NVIDIA GeForce RTX 4080;0.0078000000000000005;0.0003
