Subcategory;Entry;Month-4;Month-3;Month-2;Month-1;Month;MonthChange_%
OVERALL DISTRIBUTION OF CARDS;DirectX 12 GPUs;0.9267;0.93;0.9383;0.9376000000000001;0.9347;-0.0029
OVERALL DISTRIBUTION OF CARDS;DirectX 11 GPUs;0.010700000000000001;0.01;0.0087;0.0086;0.0083;-0.0003
OVERALL DISTRIBUTION OF CARDS;DirectX 10 GPUs;0.0063;0.0059;0.005;0.0034999999999999996;0.0031;-0.0004
OVERALL DISTRIBUTION OF CARDS;DirectX 9 Shader Model 2b and 3.0 GPUs;0.0001;0.0001;0.0001;0.0001;0.0001;0.0
OVERALL DISTRIBUTION OF CARDS;DirectX 9 Shader Model 2.0 GPUs;0.0;0.0;0.0;0.0;0.0;0.0
OVERALL DISTRIBUTION OF CARDS;DirectX 8 GPUs and below;0.0562;0.054000000000000006;0.0479;0.050199999999999995;0.0538;0.0036
ALL VIDEO CARDS;NVIDIA GeForce RTX 3060;0.0529;0.049800000000000004;0.0617;0.0692;0.0571;-0.0121
ALL VIDEO CARDS;NVIDIA GeForce GTX 1650;0.046900000000000004;0.0467;0.042300000000000004;0.0407;0.0432;0.0025
ALL VIDEO CARDS;NVIDIA GeForce RTX 3060 Ti;0.0351;0.0344;0.0382;0.0405;0.037000000000000005;-0.0034999999999999996
ALL VIDEO CARDS;NVIDIA GeForce RTX 2060;0.037000000000000005;0.035;0.0412;0.040999999999999995;0.036000000000000004;-0.005
ALL VIDEO CARDS;NVIDIA GeForce RTX 3070;0.0334;0.0313;0.0385;0.0398;0.0349;-0.0049
ALL VIDEO CARDS;NVIDIA GeForce GTX 1060;0.0387;0.0368;0.039;0.037000000000000005;0.0348;-0.0022
ALL VIDEO CARDS;NVIDIA GeForce RTX 3060 Laptop GPU;0.0348;0.038599999999999995;0.0347;0.030600000000000002;0.0345;0.0039000000000000003
ALL VIDEO CARDS;NVIDIA GeForce RTX 4060 Laptop GPU;0.0203;0.026099999999999998;0.0259;0.0236;0.0286;0.005
ALL VIDEO CARDS;NVIDIA GeForce RTX 3050;0.0262;0.0279;0.0262;0.024900000000000002;0.0276;0.0027
ALL VIDEO CARDS;NVIDIA GeForce GTX 1050 Ti;0.028399999999999998;0.027999999999999997;0.0254;0.0241;0.024700000000000003;0.0006
ALL VIDEO CARDS;NVIDIA GeForce RTX 4060;0.010700000000000001;0.012199999999999999;0.0199;0.0259;0.0241;-0.0018
ALL VIDEO CARDS;NVIDIA GeForce GTX 1660 SUPER;0.023799999999999998;0.023;0.0225;0.0216;0.0226;0.001
ALL VIDEO CARDS;NVIDIA GeForce RTX 4070;0.0158;0.0155;0.0216;0.025;0.022000000000000002;-0.003
ALL VIDEO CARDS;NVIDIA GeForce RTX 3080;0.022400000000000003;0.0217;0.0225;0.0229;0.0218;-0.0011
ALL VIDEO CARDS;NVIDIA GeForce RTX 4060 Ti;0.011000000000000001;0.0121;0.0177;0.0209;0.0206;-0.0003
ALL VIDEO CARDS;AMD Radeon Graphics;0.0217;0.0219;0.019799999999999998;0.019799999999999998;0.0203;0.0005
ALL VIDEO CARDS;Intel Iris Xe Graphics;0.0192;0.020099999999999996;0.0183;0.0187;0.018799999999999997;0.0001
ALL VIDEO CARDS;NVIDIA GeForce GTX 1660 Ti;0.0177;0.0177;0.0163;0.015600000000000001;0.0161;0.0005
ALL VIDEO CARDS;NVIDIA GeForce RTX 3070 Ti;0.015;0.0147;0.015600000000000001;0.0158;0.0151;-0.0007000000000000001
ALL VIDEO CARDS;Intel(R) UHD Graphics;0.0152;0.015;0.0138;0.0143;0.014499999999999999;0.0002
ALL VIDEO CARDS;NVIDIA GeForce RTX 4070 Ti;0.0116;0.0124;0.0125;0.012;0.013300000000000001;0.0013
ALL VIDEO CARDS;NVIDIA GeForce RTX 2060 SUPER;0.0124;0.0121;0.0146;0.0143;0.013000000000000001;-0.0013
ALL VIDEO CARDS;NVIDIA GeForce RTX 2070 SUPER;0.013600000000000001;0.0131;0.013300000000000001;0.013000000000000001;0.0126;-0.0004
ALL VIDEO CARDS;NVIDIA GeForce GTX 1070;0.013999999999999999;0.013600000000000001;0.0124;0.012;0.0121;0.0001
ALL VIDEO CARDS;NVIDIA GeForce GTX 1050;0.0141;0.0138;0.012199999999999999;0.0116;0.012;0.0004
ALL VIDEO CARDS;NVIDIA GeForce GTX 1660;0.0108;0.01;0.0113;0.0116;0.0102;-0.0014000000000000002
ALL VIDEO CARDS;AMD Radeon(TM) Graphics;0.0078000000000000005;0.0088;0.0087;0.0091;0.0102;0.0011
ALL VIDEO CARDS;NVIDIA GeForce RTX 3050 Ti Laptop GPU;0.0106;0.011000000000000001;0.01;0.0095;0.0102;0.0007000000000000001
ALL VIDEO CARDS;NVIDIA GeForce RTX 4090;0.009000000000000001;0.009300000000000001;0.009000000000000001;0.0087;0.0098;0.0011
ALL VIDEO CARDS;NVIDIA GeForce RTX 2070;0.0101;0.009300000000000001;0.010700000000000001;0.0118;0.0097;-0.0021
ALL VIDEO CARDS;AMD Radeon RX 580;0.0097;0.0096;0.0085;0.0083;0.0086;0.0003
ALL VIDEO CARDS;NVIDIA GeForce RTX 4080;0.0073;0.0075;0.0077;0.0077;0.008;0.0003
ALL VIDEO CARDS;NVIDIA GeForce GTX 1080;0.009000000000000001;0.0088;0.008;0.0079;0.0079;0.0
ALL VIDEO CARDS;NVIDIA GeForce RTX 3080 Ti;0.0083;0.0083;0.0077;0.0075;0.0079;0.0004
ALL VIDEO CARDS;NVIDIA GeForce RTX 4050 Laptop GPU;0.0058;0.006999999999999999;0.006999999999999999;0.0067;0.0077;0.001
ALL VIDEO CARDS;NVIDIA GeForce RTX 3070 Laptop GPU;0.008100000000000001;0.0085;0.0076;0.006999999999999999;0.0077;0.0007000000000000001
ALL VIDEO CARDS;AMD Radeon RX 6600;0.0067;0.0070999999999999995;0.0067;0.0066;0.0074;0.0008
ALL VIDEO CARDS;AMD Radeon RX 6700 XT;0.0075;0.0076;0.006999999999999999;0.0068000000000000005;0.0073;0.0005
ALL VIDEO CARDS;NVIDIA GeForce GTX 1650 Ti;0.0078000000000000005;0.0079;0.006999999999999999;0.006500000000000001;0.006999999999999999;0.0005
ALL VIDEO CARDS;NVIDIA GeForce RTX 3050 Laptop GPU;0.0067;0.0074;0.0067;0.0062;0.0067;0.0005
ALL VIDEO CARDS;AMD Radeon RX 5700 XT;0.0068000000000000005;0.0068000000000000005;0.0062;0.006;0.0064;0.0004
